1,0
2,1
4,0
5,0
6,0
8,1
9,0
13,0
14,0
16,1
17,1
18,1
19,1
22,1
27,0
29,1
30,1
31,0
34,1
35,0
37,0
39,0
40,1
42,0
45,0
47,0
48,1
52,1
53,0
54,0
55,0
56,1
58,1
61,0
65,0
66,1
68,0
71,1
75,1
76,0
77,1
80,0
82,1
85,0
89,0
92,0
96,0
107,1
108,1
113,1
114,0
118,1
122,1
124,0
132,0
133,0
135,0
140,1
141,0
142,0
144,1
145,1
148,1
152,0
154,0
155,1
156,1
157,0
159,0
161,1
170,1
171,0
175,0
177,0
178,0
182,0
184,0
186,0
187,1
190,0
191,0
192,0
196,1
198,0
200,1
202,0
204,0
206,0
210,1
211,1
214,0
215,0
217,0
218,0
219,0
220,1
223,1
224,1
227,0
229,0
231,0
233,0
240,0
241,0
247,1
249,1
251,0
252,0
253,1
254,0
258,1
259,0
260,1
262,0
264,0
265,0
268,0
270,0
271,0
272,1
276,1
278,1
279,0
289,0
294,0
295,1
298,0
299,0
302,0
303,1
308,1
309,1
310,1
311,0
312,1
315,1
317,1
318,1
319,0
322,1
326,1
330,0
333,0
342,1
347,1
351,1
353,1
354,1
358,0
360,0
361,0
362,1
364,0
367,0
372,1
376,0
378,0
379,1
381,0
384,0
385,0
386,1
390,1
393,1
399,0
402,0
405,0
408,0
411,0
412,1
414,0
420,0
422,1
425,1
427,1
431,1
432,1
434,1
435,0
436,1
438,0
440,1
442,0
443,1
446,1
452,1
453,0
456,1
457,0
458,0
459,1
461,0
465,0
467,0
473,0
475,0
478,0
479,1
481,0
482,1
483,1
485,0
487,1
489,0
491,1
494,1
501,0
503,1
506,1
511,0
512,1
513,0
516,1
517,1
518,1
519,0
520,0
521,1
522,0
524,1
526,0
527,1
529,1
530,0
532,1
535,0
536,1
538,1
539,1
542,0
546,0
548,0
549,0
552,1
553,1
554,1
557,0
558,0
563,1
564,0
565,0
567,1
568,0
570,0
572,1
574,1
575,1
576,0
578,1
579,0
580,0
581,1
582,0
587,0
593,0
596,1
597,1
602,0
609,1
610,1
615,1
616,1
618,0
619,1
620,0
621,1
629,0
632,0
634,0
638,0
641,1
642,0
648,0
649,1
651,1
652,0
654,1
655,0
658,1
665,1
666,1
667,0
668,0
670,0
672,0
674,1
676,0
677,1
679,0
682,1
686,0
687,1
688,1
689,0
692,0
704,1
706,0
708,1
711,1
712,0
713,0
716,1
717,1
721,1
723,0
724,1
726,1
731,1
733,1
737,1
740,1
743,1
744,0
745,0
746,0
748,1
758,0
759,1
760,0
762,0
764,1
768,0
769,0
773,1
775,1
776,1
781,0
789,1
792,0
793,0
794,1
795,1
796,0
799,1
801,0
805,1
810,1
811,1
813,1
814,0
817,0
820,1
823,0
825,1
828,0
829,1
831,1
838,0
839,0
840,1
841,1
842,1
861,0
862,1
863,0
866,0
871,0
878,0
880,1
881,0
883,1
884,0
887,0
892,1
893,1
895,0
896,0
898,1
899,1
900,1
905,1
906,0
916,0
918,1
921,1
923,0
927,0
930,0
933,0
935,1
936,1
937,1
942,1
943,0
948,1
953,1
955,1
957,0
958,0
960,0
961,0
962,0
963,0
965,0
966,0
970,0
971,0
974,0
977,1
981,1
982,1
983,1
984,1
986,1
987,1
988,1
989,0
991,0
992,1
995,0
999,1
1000,1
1002,0
1003,1
1005,0
1010,1
1014,0
1015,0
1018,1
